duplication_type	metric	young_gene	partner_gene	young_log2_expression	partner_log2_expression
TD	15DAF	Pbre1_05G487600	Pbre1_05G487400	0.0	0.5047698656616433
TD	15DAF	Pbre1_15G259200	Pbre1_15G259000	4.861357226206447	5.942359647760679
TD	15DAF	Pbre1_11G011000	Pbre1_11G010800	4.514797169912109	4.069652162874411
TD	15DAF	Pbre1_15G584600	Pbre1_15G584400	5.867406605634412	3.1541301490466265
TD	15DAF	Pbre1_17G476200	Pbre1_17G476000	0.613891810250235	1.7090912035425647
TD	15DAF	Pbre1_17G187000	Pbre1_17G186800	5.646398516211691	6.122491521677936
TD	15DAF	Pbre1_03G187800	Pbre1_03G187600	0.0	0.0
TD	15DAF	Pbre1_07G040200	Pbre1_07G040000	6.363260121182517	6.080866463846708
TD	15DAF	Pbre1_10G208400	Pbre1_10G208200	0.48750590071803646	0.0
TD	15DAF	Pbre1_10G437000	Pbre1_10G436800	0.8334884313074049	5.213187759840094
TD	15DAF	Pbre1_11G406600	Pbre1_11G406800	0.2510100666691669	1.8646279255820863
TD	15DAF	Pbre1_14G371400	Pbre1_14G371200	3.3062873247854454	6.312148064352462
TD	15DAF	Pbre1_02G443400	Pbre1_02G443200	2.8164969018912216	4.826816206311283
TD	15DAF	Pbre1_02G179400	Pbre1_02G179200	2.7799822529222085	3.4020904502388403
TD	15DAF	Pbre1_03G332200	Pbre1_03G332000	4.063956646867547	5.37887540704042
TD	15DAF	Pbre1_01G113400	Pbre1_01G113200	3.469346687751831	3.9655364429915085
TD	15DAF	Pbre1_07G243400	Pbre1_07G243200	0.21472414550692695	2.4089802697131617
TD	15DAF	Pbre1_08G366800	Pbre1_08G366600	2.6786524730351373	1.9268894386692754
TD	15DAF	Pbre1_11G052000	Pbre1_11G051800	1.8264541179668066	3.446073697566621
TD	15DAF	Pbre1_09G162600	Pbre1_09G162400	3.165302100614803	2.3170145740214454
TD	15DAF	Pbre1_05G327200	Pbre1_05G327000	5.03634490112387	3.049923981374708
TD	15DAF	Pbre1_06G360600	Pbre1_06G360400	2.505972460015633	2.1479217484550333
TD	15DAF	Pbre1_04G098200	Pbre1_04G098000	0.0	0.024343794840165033
TD	15DAF	Pbre1_12G411400	Pbre1_12G411200	0.07329926121928275	0.05344641995725478
TD	15DAF	Pbre1_15G729200	Pbre1_15G729000	2.9665836624584316	1.3894462150377331
TD	15DAF	Pbre1_07G156600	Pbre1_07G156400	1.7243617038670407	2.21254257015079
TD	15DAF	Pbre1_10G193400	Pbre1_10G193200	2.526246883346562	1.9633435356675482
TD	15DAF	Pbre1_05G553000	Pbre1_05G553200	0.014235301469002894	0.03039823476201697
TD	15DAF	Pbre1_05G552800	Pbre1_05G552600	0.0	0.014838015104129793
TD	15DAF	Pbre1_05G553400	Pbre1_05G553200	0.0716954060222924	0.03039823476201697
TD	15DAF	Pbre1_03G054000	Pbre1_03G053800	0.0	0.0997664862929298
TD	15DAF	Pbre1_06G186000	Pbre1_06G185800	0.9334955917565333	0.21749751256825411
TD	15DAF	Pbre1_17G291400	Pbre1_17G291200	4.290919250091438	4.633916018575183
TD	15DAF	Pbre1_01G107200	Pbre1_01G107000	0.38324808682960504	0.29956821665981215
TD	15DAF	Pbre1_08G236600	Pbre1_08G236400	0.023593183758465044	0.02027958835290404
TD	15DAF	Pbre1_16G350600	Pbre1_16G350400	3.073454030131694	0.12006921345159821
TD	15DAF	Pbre1_08G320200	Pbre1_08G320000	8.898730073991887	4.368002805373068
TD	15DAF	Pbre1_11G372400	Pbre1_11G372200	0.0	0.0
TD	15DAF	Pbre1_11G027600	Pbre1_11G027400	4.069774162120682	1.7518441619995369
TD	15DAF	Pbre1_05G371200	Pbre1_05G371000	1.11809388938682	1.2522297389869435
