duplication_type	trajectory	role	log2_TPM_plus_1
TRD	Neo(C)	P	3.6858261968200456
TRD	Neo(C)	P	5.573179042204223
TRD	Neo(C)	P	4.7517430993376
TRD	Neo(C)	P	4.688812103514934
TRD	Neo(C)	P	3.09274812184574
TRD	Neo(C)	P	4.319857339961976
TRD	Neo(C)	P	5.969880484627439
TRD	Neo(C)	P	5.246519572556803
TRD	Neo(C)	P	5.062019729006792
TRD	Neo(C)	P	2.91397335663706
TRD	Neo(C)	P	5.202883831636201
TRD	Neo(C)	P	7.170937891930809
TRD	Neo(C)	P	4.113272135486084
TRD	Neo(C)	P	4.405212753490922
TRD	Neo(C)	P	6.926205250906867
TRD	Neo(C)	P	7.367950313611698
TRD	Neo(C)	P	1.8918043725874065
TRD	Neo(C)	P	4.309735501804261
TRD	Neo(C)	P	6.358866296218627
TRD	Neo(C)	P	6.209240786400099
TRD	Neo(C)	P	7.293867992575306
TRD	Neo(C)	P	6.926205250906867
TRD	Neo(C)	P	5.18361001561979
TRD	Neo(C)	P	2.7212468328985278
TRD	Neo(C)	P	3.573179915930097
TRD	Neo(C)	P	5.488698253052493
TRD	Neo(C)	P	2.3930764928425012
TRD	Neo(C)	P	4.110161606680018
TRD	Neo(C)	P	5.206295511384382
TRD	Neo(C)	P	3.329934411839829
TRD	Neo(C)	P	4.431605912011299
TRD	Neo(C)	P	2.1192681295577986
TRD	Neo(C)	P	7.3147845119650325
TRD	Neo(C)	P	5.1008974467284744
TRD	Neo(C)	P	5.918949526139567
TRD	Neo(C)	P	3.0642620844831323
TRD	Neo(C)	P	3.4355795700327745
TRD	Neo(C)	P	6.089027129589307
TRD	Neo(C)	P	4.251646716220401
TRD	Neo(C)	P	4.7755028364416425
TRD	Neo(C)	P	4.8854690623366945
TRD	Neo(C)	P	4.418601936673905
TRD	Neo(C)	P	5.753142817104461
TRD	Neo(C)	P	4.399415522175113
TRD	Neo(C)	P	3.5908245479924994
TRD	Neo(C)	P	2.690331268828424
TRD	Neo(C)	P	8.151746109383268
TRD	Neo(C)	P	5.862697700516448
TRD	Neo(C)	P	7.085252194908255
TRD	Neo(C)	P	4.06377222887558
TRD	Neo(C)	P	2.6659343243574183
TRD	Neo(C)	P	7.592173993352257
TRD	Neo(C)	P	4.4174188875243585
TRD	Neo(C)	P	6.203469182642245
TRD	Neo(C)	P	5.673483316920895
TRD	Neo(C)	P	6.491996875099036
TRD	Neo(C)	P	7.527060868629707
TRD	Neo(C)	P	7.6043583337906
TRD	Neo(C)	P	3.1837269700598694
TRD	Neo(C)	P	4.325997147168468
TRD	Neo(C)	P	5.747347030303561
TRD	Neo(C)	P	4.923439077254398
TRD	Neo(C)	P	6.74934482329443
TRD	Neo(C)	P	4.03194671818444
TRD	Neo(C)	P	5.176243414251111
TRD	Neo(C)	P	7.704897321802353
TRD	Neo(C)	P	4.430321719080447
TRD	Neo(C)	P	5.024605590620105
TRD	Neo(C)	P	8.444947754504327
TRD	Neo(C)	P	4.221546225798623
TRD	Neo(C)	P	4.2404447130491665
TRD	Neo(C)	P	3.0117929195548143
TRD	Neo(C)	P	2.421976109908662
TRD	Neo(C)	P	4.520444606459353
TRD	Neo(C)	P	7.3140385628889
TRD	Neo(C)	P	5.300563703870413
TRD	Neo(C)	P	5.024282433622348
TRD	Neo(C)	P	5.510437164811998
TRD	Neo(C)	P	5.462304795609306
TRD	Neo(C)	P	3.807972435109394
TRD	Neo(C)	P	6.74934482329443
TRD	Neo(C)	P	5.866728289289699
TRD	Neo(C)	P	5.647015936921577
TRD	Neo(C)	P	6.996677256605745
TRD	Neo(C)	P	5.8299836522183455
TRD	Neo(C)	P	1.8573022049856596
TRD	Neo(C)	P	3.714625331559774
TRD	Neo(C)	P	3.9295542683925686
TRD	Neo(C)	P	5.132611319434295
TRD	Neo(C)	P	6.960908080948056
TRD	Neo(C)	P	8.16234569304802
TRD	Neo(C)	P	8.521322614029332
TRD	Neo(C)	P	5.943766783983057
TRD	Neo(C)	P	4.679175210581049
TRD	Neo(C)	P	5.298317076856725
TRD	Neo(C)	P	5.318248555769473
TRD	Neo(C)	P	7.212115145573581
TRD	Neo(C)	P	6.28498415281955
TRD	Neo(C)	P	7.156990226397683
TRD	Neo(C)	P	3.108406136993984
TRD	Neo(C)	P	3.0600606169630393
TRD	Neo(C)	P	4.7299689874740976
TRD	Neo(C)	P	7.704897321802353
TRD	Neo(C)	P	5.379549527846372
TRD	Neo(C)	P	4.311382740543997
TRD	Neo(C)	P	5.407186591419588
TRD	Neo(C)	P	5.316545542279494
